Programme,ML,IR,Statistics,Databases,Gender,Chocolate,Neighbors,Stand-up,Stress-level,Random-number,Time2bed,Age
AI,yes,0,mu,nee,female,neither,0,no,0,888,,24.0
Others,yes,0,mu,nee,male,fat,0,yes,100,12,,22.0
CLS,yes,1,mu,ja,male,fat,1,no,0,9,,24.0
CS,yes,0,unknown,nee,male,neither,0,no,20,31,,25.0
AI,yes,1,mu,ja,male,fat,0,no,2,86,19:00:00,25.0
AI,no,unknown,sigma,unknown,female,fat,0,no,48,87,,unknown
AI,yes,0,unknown,nee,male,neither,1,no,20,6,00:35:00,24
AI,yes,0,unknown,ja,male,neither,0,no,100,50,,unknown
Others,yes,0,mu,ja,male,neither,0,no,20,42,,27
AI,no,0,mu,ja,female,fat,5,yes,50,88,,22
AI,no,0,mu,nee,male,unknown,0,no,60,1,,24
CS,yes,1,unknown,ja,female,fat,0,no,50,56,00:00:00,unknown
AI,yes,1,mu,ja,male,unknown,0,no,100,7,,unknown
Others,no,0,mu,nee,male,fat,0,yes,65,8,00:00:00,40
AI,yes,0,mu,ja,male,fat,0,yes,70,420,,23
Others,yes,1,mu,ja,male,neither,unknown,unknown,100,42,,unknown
AI,no,0,sigma,nee,male,slim,5,no,98,6,,unknown
AI,no,unknown,mu,ja,female,fat,0,no,34,88,,23
AI,yes,0,mu,ja,male,fat,1,no,70,22,,28
CS,yes,0,mu,nee,male,fat,0,no,15,17,,25
Others,yes,0,mu,nee,male,unknown,unknown,yes,60,0,,23
CS,yes,1,unknown,ja,female,unknown,3,no,100,12,,24
AI,unknown,0,mu,nee,female,fat,0,unknown,10,800039995,03:00:00,27
AI,yes,1,mu,ja,female,neither,0,no,90,72,,24
CS,yes,0,mu,ja,male,unknown,2,no,1,27,02:30:00,unknown
CS,yes,unknown,mu,nee,female,fat,0,no,70,31,,24
CLS,no,0,mu,ja,male,unknown,1,no,56,unknown,,24
CLS,yes,0,mu,nee,female,neither,1,no,69,6,,25
Others,yes,0,sigma,ja,female,fat,2,yes,79,11,,25
CLS,no,0,mu,nee,male,unknown,1,no,33,unknown,,24
CS,yes,0,mu,nee,female,unknown,2,no,80,32,,25
AI,yes,0,mu,nee,female,neither,1,no,10,1278946,,23
CS,yes,0,mu,nee,male,unknown,0,yes,100,651,,unknown
AI,no,0,sigma,nee,female,neither,unknown,no,90,24,,unknown
AI,no,0,sigma,ja,male,unknown,5,no,70,2500,,26
Others,yes,unknown,mu,nee,male,fat,0,no,40,42,,27
CS,yes,1,mu,ja,male,unknown,0,no,69,6,,unknown
AI,yes,1,mu,ja,male,unknown,1,no,69,420,01:30:00,26
AI,yes,1,mu,ja,male,fat,0,no,45,unknown,01:34:00,24
CS,yes,0,mu,ja,male,fat,0,no,7,1946,21:00:00,24
AI,yes,1,unknown,nee,female,neither,0,no,33,88,,unknown
CLS,no,0,sigma,nee,female,unknown,0,no,40,36,,24
AI,no,0,mu,nee,male,slim,unknown,yes,100,666,,unknown
AI,no,0,mu,nee,female,slim,2,no,70,765,,24
Others,yes,unknown,mu,ja,male,fat,0,no,20,3,,25
CS,yes,0,mu,ja,male,neither,0,no,60,81,,unknown
CLS,yes,0,unknown,nee,male,fat,1,no,0,109,,24
AI,yes,1,mu,ja,male,unknown,0,no,20,4444,,25
CS,yes,0,mu,nee,male,unknown,0,no,10,94,,25
AI,no,0,mu,nee,male,unknown,7,no,50,9999,,30
CLS,yes,0,mu,ja,female,unknown,1,unknown,5,1,,22
AI,no,0,sigma,unknown,others,neither,1,no,88,401,01:00:00,23
AI,yes,unknown,mu,ja,female,neither,0,no,60,7,22:00:00,23
CS,yes,1,mu,ja,male,unknown,2,no,75,19,,22
AI,yes,1,mu,ja,male,unknown,2,unknown,69,42,,24
AI,yes,0,mu,nee,others,neither,unknown,no,34,1,,48
CS,yes,0,sigma,nee,male,unknown,4,no,50,7,,unknown
CS,yes,unknown,mu,ja,female,unknown,0,no,99,77,,25
CS,yes,0,unknown,nee,male,unknown,5,no,99,77,00:34:00,unknown
AI,yes,0,mu,ja,male,fat,6,no,30,69,,24
CS,yes,1,mu,ja,male,neither,1,no,50,69,,unknown
AI,yes,0,mu,ja,male,fat,1,yes,20,864687452,,24
AI,no,0,mu,nee,others,unknown,0,no,69,420,02:00:00,25
Others,no,unknown,mu,ja,others,slim,1,yes,34,280,,unknown
CLS,no,0,mu,nee,male,unknown,2,no,40,67,,25
AI,yes,0,sigma,nee,male,neither,0,no,1,2,,unknown
CS,yes,0,unknown,nee,female,slim,2,no,65,33,,25
CS,no,0,mu,ja,others,neither,0,no,100,2,,21
CS,no,0,sigma,nee,female,neither,0,no,80,8271,23:00:00,unknown
CS,yes,0,mu,ja,male,fat,0,no,10,17,02:00:00,23
CS,yes,1,mu,ja,male,fat,1,no,100,4,,23
CS,yes,1,mu,ja,male,unknown,unknown,no,99,42,,28
CS,no,0,mu,nee,male,unknown,0,no,100,2,,23
QRM,no,0,mu,nee,male,unknown,2,yes,100,0,,25
Others,yes,0,mu,unknown,male,unknown,2,unknown,42,365,01:00:00,27
Others,no,0,mu,nee,male,fat,1,no,80,33,,25
CLS,no,0,mu,ja,male,fat,0,no,50,5,04:35:00,25
CLS,no,0,mu,nee,male,slim,5,yes,100,41,,unknown
Others,no,0,unknown,nee,female,neither,3,yes,60,36,,21
AI,yes,0,mu,nee,male,neither,1,no,50,69,02:00:00,24
CLS,yes,1,unknown,ja,male,slim,1,yes,10,73,,unknown
AI,yes,0,unknown,nee,male,neither,2,yes,61,029384750928347509832475908347529803475982347598237459802374980572349805723489573298576893475983274598723498572349805738904759082345702345897349857,,24
CS,yes,unknown,mu,ja,male,neither,3,yes,100,42,22:00:00,unknown
CS,yes,1,mu,nee,female,fat,0,no,89,86,,26
AI,yes,0,mu,nee,male,unknown,5,unknown,100,980000000000000789,00:00:00,unknown
AI,yes,1,mu,nee,female,neither,0,no,unknown,432,,21
CS,no,1,mu,ja,male,fat,1,no,100,88,,23
CS,yes,unknown,mu,ja,male,slim,1,no,10,3,,23
CS,yes,0,mu,ja,male,fat,3,no,0,42,,25
Others,yes,0,unknown,nee,female,fat,3,no,80,100,,unknown
Others,yes,0,mu,ja,others,fat,unknown,yes,100,unknown,,unknown
AI,yes,1,unknown,nee,female,neither,2,no,60,14,,22
CS,yes,0,unknown,ja,male,fat,0,no,30,6,,unknown
CLS,no,0,mu,nee,female,neither,6,unknown,100,3645,,unknown
CS,yes,0,mu,ja,male,unknown,1,no,100,987654321,,24
AI,no,unknown,unknown,nee,others,unknown,2,no,100,unknown,,unknown
QRM,no,0,mu,nee,female,neither,0,no,80,69,21:00:00,24
AI,yes,1,mu,ja,male,neither,0,no,100,7,,unknown
CS,yes,1,mu,ja,male,neither,7,no,40,69,22:00:00,unknown
CS,yes,0,mu,nee,female,neither,2,no,10,6,00:45:00,unknown
AI,yes,1,mu,ja,female,unknown,unknown,no,100,3,23:00:00,23
CS,no,unknown,unknown,nee,male,unknown,unknown,no,10,227,,40
CS,yes,0,sigma,ja,female,neither,7,no,60,247,,22
AI,yes,0,mu,nee,male,fat,0,no,44,57,22:00:00,24
AI,yes,0,mu,ja,others,unknown,1,unknown,3,73553801531488322931570535984775796225797789,04:20:00,53
Others,unknown,1,sigma,ja,male,unknown,unknown,no,100,666,,24
Others,no,0,mu,ja,female,fat,4,no,88,42,,unknown
AI,no,0,mu,nee,male,fat,3,unknown,100,94736253,00:55:00,23
CS,yes,0,unknown,ja,others,neither,4,unknown,10,unknown,,23
CS,yes,1,mu,ja,male,slim,2,no,50,13,,27
CS,no,1,mu,ja,female,unknown,2,no,20,97,,25
AI,yes,1,mu,ja,female,fat,1,no,5,56,,24
CS,yes,1,mu,ja,female,fat,1,no,5,7,,unknown
CS,yes,0,sigma,ja,male,neither,unknown,no,10,7,01:30:00,24
CS,yes,0,mu,ja,male,fat,1,no,0,25,,25
AI,no,0,mu,ja,female,neither,3,no,40,567,02:00:00,26
Others,yes,unknown,mu,ja,female,fat,1,no,40,58,,23
AI,yes,0,mu,ja,female,fat,1,no,0,23,03:00:00,24
AI,yes,0,mu,ja,female,slim,2,no,3,43,,23
CLS,no,0,mu,nee,male,fat,0,no,69,69,01:30:00,24
QRM,yes,0,mu,nee,male,fat,unknown,unknown,unknown,unknown,,unknown
AI,yes,0,mu,ja,male,fat,0,no,1,73,02:20:00,unknown
CLS,unknown,unknown,unknown,unknown,female,neither,5,no,10,9,01:00:00,22
AI,yes,0,mu,ja,female,fat,0,no,14,8,,24
Others,no,1,mu,nee,male,unknown,7,yes,10,21,,27
AI,no,1,mu,nee,male,slim,0,no,69,42,05:00:00,24
AI,no,0,mu,ja,male,fat,5,no,40,5813,01:00:00,31
CLS,no,0,mu,nee,male,unknown,2,unknown,0,7823,,unknown
AI,yes,unknown,mu,ja,male,unknown,1,no,30,36,,25
AI,yes,1,mu,ja,female,neither,1,yes,60,42,01:30:00,25
CS,no,0,mu,nee,male,neither,1,no,60,88,,22
AI,yes,1,mu,nee,male,unknown,8,no,50,9,,22
CLS,no,0,mu,ja,male,unknown,0,no,40,4,02:30:00,unknown
AI,yes,0,sigma,ja,female,fat,0,no,30,47,23:00:00,25
Others,yes,0,mu,ja,male,neither,0,no,20,76853,,26
Others,yes,unknown,mu,nee,male,fat,1,no,75,76678909876543,23:00:00,unknown
CS,yes,0,mu,nee,male,slim,0,no,unknown,8,00:40:00,unknown
AI,yes,0,mu,ja,female,neither,0,yes,68,83,00:15:00,24
CS,yes,1,mu,ja,female,slim,4,no,22,12,19:00:00,23
AI,no,0,mu,nee,female,fat,0,no,70,3,00:07:00,25
AI,yes,0,mu,nee,female,fat,1,no,30,60,,25
AI,no,1,unknown,ja,others,slim,unknown,no,unknown,unknown,04:15:00,unknown
CS,yes,0,mu,unknown,female,neither,0,no,47,83,04:00:00,24
Others,no,0,mu,nee,male,unknown,4,no,45,10,01:53:00,26
AI,no,0,mu,nee,male,fat,0,no,75,4,00:00:00,26
CS,no,0,sigma,ja,male,fat,1,no,10,7,01:00:00,26
CS,yes,0,mu,nee,male,neither,0,no,80,1,01:00:00,unknown
CS,yes,0,mu,ja,female,fat,0,no,40,8,00:00:00,23
CLS,yes,unknown,mu,ja,others,neither,2,no,80,unknown,03:00:00,unknown
CS,yes,1,mu,ja,male,unknown,unknown,no,10,69,01:00:00,unknown
Others,yes,unknown,mu,unknown,female,fat,0,no,50,68,,24
CS,yes,0,mu,nee,male,fat,0,no,33,8,01:00:00,26
AI,yes,0,mu,nee,male,neither,2,no,70,7,00:20:00,24
AI,yes,unknown,mu,nee,male,fat,1,yes,30,42,01:00:00,25
Others,yes,1,mu,nee,female,unknown,0,no,34,651893,00:15:00,unknown
CS,yes,1,mu,ja,female,fat,1,no,20,9462648,,unknown
AI,yes,unknown,mu,ja,male,slim,5,no,60,68,,unknown
AI,no,0,mu,nee,male,unknown,2,no,70,4,04:30:00,24
AI,yes,1,mu,ja,male,unknown,1,unknown,20,521,,unknown
AI,no,0,mu,nee,male,fat,0,no,75,77,,26
AI,no,1,mu,ja,male,fat,1,no,20,69,,unknown
CS,no,0,mu,nee,male,neither,1,yes,15,9664367943217790643378,,23
CS,no,0,mu,nee,female,neither,0,no,100,3,03:00:00,unknown
CS,no,0,mu,ja,male,unknown,0,no,0,2230,,27
CLS,no,0,sigma,nee,male,neither,0,yes,20,13,01:00:00,unknown
CS,no,0,mu,ja,male,neither,0,no,80,420,,24
AI,yes,0,mu,ja,female,unknown,6,yes,36,163,,28
CS,yes,0,mu,nee,male,fat,5,no,50,3,,23
CS,yes,0,sigma,nee,male,fat,0,no,40,unknown,01:00:00,23
CS,yes,1,mu,ja,female,fat,0,no,60,18,,23
CS,yes,unknown,mu,ja,female,fat,0,no,12,2,00:12:00,24
Others,no,0,mu,nee,female,neither,2,no,60,4,,24
AI,no,0,mu,nee,female,neither,1,no,70,33,,unknown
